model,pathway,scenario,region,variables,unit,2020,2025,2030
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Run-of-river hydro,PJ/year,0,0.024501222,0.023756282
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Reservoir,PJ/year,0.031764949,0.000330443,0.000320205
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Nuclear|Boiling water reactor,PJ/year,0,0,0
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Nuclear|Pressure water reactor,PJ/year,0.140811088,0.140811088,0.140811088
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,0,0,0
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Conventional|Other,PJ/year,0,0,0
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Renewable|Photovoltaic,PJ/year,0.087157395,0.027529989,0.031390906
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Renewable|Wind turbines|Onshore,PJ/year,0.048570139,0.489401868,0.489480144
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Renewable|Wind turbines|Offshore,PJ/year,0.179522568,0.018487989,0.030817237
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Renewable|Geothermal,PJ/year,0,0,0
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Renewable|Biomass,PJ/year,0,0,0
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Renewable|Biogas,PJ/year,0.084471998,0.079010770,0.093194635
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Medium to high,PJ/year,1,1,1
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Low to medium,PJ/year,1,1,1
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Import,PJ/year,0,0,0
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Lignite,PJ/year,0.209630087,0.01637935,0
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Hard_coal,PJ/year,0.108177983,0.027469624,0
remind,SSP2-Npi,Dynamic energy,DE,Production|Electricity|Natural_gas_CHP,PJ/year,0.109779638,0.1742493598,0.15379765449
remind,SSP2-Npi,Dynamic energy,DE,Production|Heat|Hydrogen_input,PJ/year,0.109779638,0.109779638,0.109779638
remind,SSP2-Npi,Dynamic energy,DE,Transmission losses|Electricity|Medium to high,PJ/year,1,0.935,0.935
remind,SSP2-Npi,Dynamic energy,DE,Distribution losses|Electricity|Low to medium,PJ/year,1,0.973,0.973
remind,SSP2-Npi,Dynamic energy,DE,Production|Heat|Gas,%,0.422087518,0.385995855,0.320872205
remind,SSP2-Npi,Dynamic energy,DE,Production|Heat|Oil,%,0.060647262,0.056852653,0.044305455
remind,SSP2-Npi,Dynamic energy,DE,Production|Heat|Coal,%,0.065040995,0.055692619,0.043096047
remind,SSP2-Npi,Dynamic energy,DE,Production|Heat|Electricity,%,0.247671855,0.271756459,0.297812314
remind,SSP2-Npi,Dynamic energy,DE,Production|Heat|CHP,%,0.132397041,0.138339107,0.154527949
remind,SSP2-Npi,Dynamic energy,DE,Production|Heat|Biomass,%,0.072155322,0.09027664,0.133211006
remind,SSP2-Npi,Dynamic energy,DE,Production|Heat|Hydrogen,%,5.83E-09,0.001086666,0.006175025
